Ticker               yfinance Ticker           Name
PKO                  PKO.WA                    Powszechna Kasa Oszczednosci Bank Polski Spólka Akcyjna
PKP                  PKP.WA                    Pkp Cargo S.A.
PLW                  PLW.WA                    PlayWay S.A.
PLZ                  PLZ.WA                    Plaza Centers N.V.
PPS                  PPS.WA                    Pepees S.A.
PRI                  PRI.WA                    Pragma Inkaso S.A.
PRM                  PRM.WA                    Prochem S.A.
PRT                  PRT.WA                    Protektor S.A.
PTG                  PTG.WA                    Poltreg S.A.
PTW                  PTW.WA                    PTWP
PUR                  PUR.WA                    Pure Biologics S.A.
PWX                  PWX.WA                    Polwax S.A.
PXM                  PXM.WA                    Polimex-Mostostal S.A.
PZU                  PZU.WA                    Powszechny Zaklad Ubezpieczen SA
QNA                  QNA.WA                    QNATECHNO
QNT                  QNT.WA                    Quantum software S.A.
QRS                  QRS.WA                    Quercus TFI S.A.
RAE                  RAE.WA                    Raen S.A.
RAF                  RAF.WA                    Fabryka Obrabiarek RAFAMET S.A.
RBW                  RBW.WA                    Rainbow Tours S.A.
RLP                  RLP.WA                    Relpol S.A.
RMK                  RMK.WA                    Remak-Energomontaz S.A.
RNC                  RNC.WA                    REINO Capital S.A.
RND                  RND.WA                    RENDER
RNK                  RNK.WA                    Rank Progress S.A.
RPC                  RPC.WA                    Zaklady Magnezytowe ROPCZYCE S.A.
RVU                  RVU.WA                    Ryvu Therapeutics S.A.
RWL                  RWL.WA                    Rawlplug S.A.
SAN                  SAN.WA                    Banco Santander, S.A.
SCP                  SCP.WA                    Scope Fluidics S.A.
SEK                  SEK.WA                    Seko S.A.
SEL                  SEL.WA                    Selena FM S.A.
SFG                  SFG.WA                    AS Silvano Fashion Group
SFS                  SFS.WA                    Sfinks Polska S.A.
SGN                  SGN.WA                    Sygnity S.A.
SHD                  SHD.WA                    Soho Development S.A.
SHG                  SHG.WA                    Starhedge S.A.
SHO                  SHO.WA                    Shoper S.A.
SIM                  SIM.WA                    SimFabric S.A.
SKA                  SKA.WA                    Fabryka Farb i Lakierów Sniezka SA
SKH                  SKH.WA                    Skarbiec Holding S.A.
SKL                  SKL.WA                    Skyline Investment S.A.
SLV                  SLV.WA                    Selvita S.A.
SNK                  SNK.WA                    Sanok Rubber Company Spólka Akcyjna
SNT                  SNT.WA                    Synektik Spólka Akcyjna
SNW                  SNW.WA                    Sanwil Holding Spólka Akcyjna
SNX                  SNX.WA                    Sunex S.A.
SON                  SON.WA                    Sonel S.A.
SPL                  SPL.WA                    Santander Bank Polska S.A.
SPR                  SPR.WA                    Spyrosoft Spólka Akcyjna
STF                  STF.WA                    Stalprofil S.A.
STP                  STP.WA                    Stalprodukt S.A.
STS                  STS.WA                    Satis Group S.A.
STX                  STX.WA                    Stalexport Autostrady S.A.
SVE                  SVE.WA                    Synthaverse S.A.
SVRS                 SVRS.WA                   Silvair, Inc.
SWG                  SWG.WA                    Seco/Warwick S.A.
TAR                  TAR.WA                    Tarczynski S.A.
TEN                  TEN.WA                    Ten Square Games S.A.
THG                  THG.WA                    TenderHut S.A.
TLX                  TLX.WA                    Talex S.A.
TOA                  TOA.WA                    TOYA S.A.
TOR                  TOR.WA                    Torpol S.A.
TPE                  TPE.WA                    TAURON Polska Energia S.A.
TRK                  TRK.WA                    Trakcja S.A.
TRN                  TRN.WA                    Trans Polonia S.A.
TRR                  TRR.WA                    Termo-Rex S.A.
TSG                  TSG.WA                    Tesgas S.A.
TXT                  TXT.WA                    Text S.A.
ULG                  ULG.WA                    Ultimate Games S.A.
ULM                  ULM.WA                    ULMA Construccion Polska S.A.
UNF                  UNF.WA                    Unfold.vc ASI S.A.
UNI                  UNI.WA                    UNIBEP S.A.
UNT                  UNT.WA                    Unimot S.A.
URT                  URT.WA                    Urteste S.A.
VGO                  VGO.WA                    VIGO Photonics S.A.
VIN                  VIN.WA                    Gielda Praw Majatkowych Vindexus Spolka Akcyjna
VOT                  VOT.WA                    Votum S.A.
VOX                  VOX.WA                    Voxel S.A.
VRC                  VRC.WA                    Vercom S.A.
VRG                  VRG.WA                    VRG S.A.
VVD                  VVD.WA                    Vivid Games S.A.
WAS                  WAS.WA                    Wasko S.A.
WLT                  WLT.WA                    Wielton S.A.
WPL                  WPL.WA                    Wirtualna Polska Holding S.A.
WPR                  WPR.WA                    WOODPCKR
WTN                  WTN.WA                    Wittchen S.A.
WWL                  WWL.WA                    Wawel S.A.
WXF                  WXF.WA                    Warimpex Finanz- und Beteiligungs AG
XPL                  XPL.WA                    Xplus S.A.
XTB                  XTB.WA                    XTB S.A.
XTP                  XTP.WA                    XTPL S.A.
YAN                  YAN.WA                    Yanosik S.A.
YRL                  YRL.WA                    yarrl S.A.
ZAB                  ZAB.WA                    Zabka Group S.A.
ZAP                  ZAP.WA                    Zaklady Azotowe Pulawy S.A.
ZEP                  ZEP.WA                    ZE PAK SA
ZMT                  ZMT.WA                    Zamet S.A.
ZRE                  ZRE.WA                    Zaklad Budowy Maszyn ZREMB - Chojnice S.A.
ZUE                  ZUE.WA                    ZUE S.A.
ZUK                  ZUK.WA                    Zaklady Urzadzen Kotlowych "Staporków" S.A.
